s:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 646
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 646
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 646
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
Value of Sensor is:- 647
